# powersource_curr1_set	powersource_voltage2
# "Current"	"Voltage"
# 51
-1e-05	0.00035
-9.6e-06	0.00035
-9.2e-06	0.00039
-8.8e-06	0.00037
-8.4e-06	0.0004
-8e-06	0.00038
-7.6e-06	0.00041
-7.2e-06	0.00043
-6.8e-06	0.00042
-6.4e-06	0.00046
-6e-06	0.00043
-5.6e-06	0.00045
-5.2e-06	0.0005
-4.8e-06	0.00046
-4.4e-06	0.0005
-4e-06	0.00049
-3.6e-06	0.0005
-3.2e-06	0.00055
-2.8e-06	0.00053
-2.4e-06	0.00055
-2e-06	0.00056
-1.6e-06	0.00058
-1.2e-06	0.00058
-8e-07	0.00058
-4e-07	0.0006
0	0.00062
4e-07	0.00063
8e-07	0.00061
1.2e-06	0.00067
1.6e-06	0.00064
2e-06	0.00068
2.4e-06	0.00066
2.8e-06	0.00068
3.2e-06	0.00071
3.6e-06	0.00071
4e-06	0.00071
4.4e-06	0.00071
4.8e-06	0.00074
5.2e-06	0.00074
5.6e-06	0.00077
6e-06	0.00077
6.4e-06	0.00077
6.8e-06	0.00078
7.2e-06	0.00079
7.6e-06	0.00082
8e-06	0.00083
8.4e-06	0.00082
8.8e-06	0.00087
9.2e-06	0.00085
9.6e-06	0.00087
1e-05	0.00087
